2024-02-26,118.5
2024-02-27,117.8
2024-02-28,118.2
2024-02-29,117.4
2024-03-01,118.9
2024-03-02,117.6
2024-03-03,118.3
2024-03-04,116.6
2024-03-05,118.3
2024-03-06,116.2
2024-03-07,115.8
2024-03-08,
2024-03-09,116.3
2024-03-10,115.8
2024-03-11,116.2
2024-03-12,
2024-03-13,
2024-03-14,115
2024-03-15,115.4
2024-03-16,115.3
2024-03-17,
2024-03-18,115.5
2024-03-19,114.7
2024-03-20,115.3
2024-03-21,115.3
2024-03-22,114.7
2024-03-23,115.7
2024-03-24,
2024-03-25,115.6
2024-03-26,114.9
2024-03-27,
2024-03-28,114.5
2024-03-29,114.3
2024-03-30,
2024-03-31,113.9
2024-04-01,115
2024-04-02,113.9
2024-04-03,113.5
2024-04-04,113.1
2024-04-05,113.8
2024-04-06,114.3
2024-04-07,
2024-04-08,113